unix_second,mean_cpu_power_mW,n_samples
1788272580,218.0,5
1788272581,250.2,4
1788272582,214.6,5
1788272583,690.4,5
1788272584,209.6,5
1788272585,156.6,5
1788272586,532.2,4
1788272587,212.8,5
1788272588,765.8,5
1788272589,289.4,5
1788272590,234.2,5
1788272591,245.2,5
1788272592,212.2,4
1788272593,346.4,5
1788272594,173.6,5
1788272595,366.4,5
1788272596,1751.6,5
1788272597,2739.2,5
1788272598,127.5,4
1788272599,197.4,5
1788272600,781.8,5
1788272601,218.8,5
1788272602,206.0,5
1788272603,291.6,5
1788272604,177.2,4
1788272605,2231.0,5
1788272606,3816.2,5
1788272607,4763.8,5
1788272608,5973.4,5
1788272609,5748.8,5
1788272610,5958.8,5
1788272611,5722.0,5
1788272612,5875.0,5
1788272613,5778.0,5
1788272614,5969.8,5
1788272615,5920.5,4
1788272616,5771.4,5
1788272617,6340.8,5
1788272618,5798.8,5
1788272619,5841.4,5
1788272620,5839.4,5
1788272621,5766.6,5
1788272622,5891.6,5
1788272623,5764.8,5
1788272624,5911.0,5
1788272625,5761.6,5
1788272626,6005.8,5
1788272627,7960.5,4
1788272628,8485.2,5
1788272629,6265.0,5
1788272630,5685.0,5
1788272631,5969.8,5
1788272632,5734.8,5
1788272633,5920.6,5
1788272634,5793.0,5
1788272635,5912.2,5
1788272636,5852.6,5
1788272637,5694.8,5
1788272638,5720.0,5
1788272639,6067.5,4
1788272640,5882.0,5
1788272641,5805.0,5
1788272642,5721.4,5
1788272643,5762.6,5
1788272644,5752.8,5
1788272645,5742.4,5
1788272646,5805.4,5
1788272647,5793.2,5
1788272648,5797.4,5
1788272649,7852.2,5
1788272650,6459.2,4
1788272651,6476.2,5
1788272652,6659.6,5
1788272653,6672.6,5
1788272654,6285.8,5
1788272655,6168.0,5
1788272656,6286.2,5
1788272657,6253.2,5
1788272658,7382.0,5
1788272659,8508.0,5
1788272660,6892.0,5
1788272661,5919.6,5
1788272662,5871.2,4
1788272663,6210.6,5
1788272664,5947.2,5
1788272665,5919.6,5
1788272666,5986.0,5
1788272667,6077.6,5
1788272668,6582.0,5
1788272669,5817.0,5
1788272670,5789.4,5
1788272671,5797.0,5
1788272672,5767.6,5
1788272673,5771.4,5
1788272674,5792.6,5
1788272675,5859.8,4
1788272676,5802.4,5
1788272677,6733.6,5
1788272678,5776.8,5
1788272679,5812.0,5
1788272680,5764.4,5
1788272681,5743.8,5
1788272682,5750.8,5
1788272683,5792.2,5
1788272684,5750.6,5
1788272685,5734.0,5
1788272686,5735.6,5
1788272687,5835.2,4
1788272688,5755.0,5
1788272689,5731.4,5
1788272690,5753.0,5
1788272691,5744.2,5
1788272692,5759.8,5
1788272693,5750.6,5
1788272694,5740.8,5
1788272695,5932.4,5
1788272696,5735.2,5
1788272697,5784.4,5
1788272698,5783.8,5
1788272699,5767.2,5
1788272700,5826.5,4
1788272701,7487.6,5
1788272702,19416.2,5
1788272703,19596.8,5
1788272704,19630.8,5
1788272705,19780.4,5
1788272706,19042.6,5
1788272707,18473.8,5
1788272708,18113.6,5
1788272709,3110.6,5
1788272710,85.5,4
1788272711,206.8,5
1788272712,53.0,5
1788272713,86.4,5
1788272714,64.6,5
1788272715,64.0,4
1788272716,53.8,5
1788272717,55.0,5
1788272718,46.6,5
1788272719,60.8,5
1788272720,51.0,5
1788272721,51.5,4
1788272722,56.6,5
1788272723,45.4,5
1788272724,48.2,5
1788272725,51.2,5
1788272726,60.2,4
1788272727,53.8,5
1788272728,47.8,5
1788272729,166.8,5
1788272730,54.6,5
1788272731,328.5,4
1788272732,169.6,5
1788272733,70.4,5
1788272734,64.0,5
1788272735,115.8,5
1788272736,68.2,4
1788272737,1296.4,5
1788272738,4529.4,5
1788272739,5110.6,5
1788272740,5103.4,5
1788272741,5131.0,5
1788272742,5098.2,5
1788272743,5176.6,5
1788272744,5131.4,5
1788272745,5104.8,5
1788272746,5246.2,5
1788272747,5140.8,5
1788272748,5124.0,4
1788272749,5116.0,5
1788272750,7601.0,5
1788272751,17869.4,5
1788272752,17636.0,5
1788272753,4710.6,5
1788272754,60.8,5
1788272755,48.2,5
1788272756,52.0,4
1788272757,52.8,5
1788272758,60.6,5
1788272759,55.4,5
1788272760,154.4,5
1788272761,55.5,4
1788272762,51.0,5
1788272763,49.2,5
1788272764,51.0,5
1788272765,50.2,5
1788272766,62.8,5
1788272767,44.5,4
1788272768,68.2,5
1788272769,49.8,5
1788272770,54.8,5
1788272771,44.0,5
1788272772,53.0,4
1788272773,67.6,5
1788272774,46.0,5
1788272775,53.6,5
1788272776,89.2,5
1788272777,64.2,4
1788272778,60.0,5
1788272779,468.8,5
1788272780,57.4,5
1788272781,80.6,5
1788272782,52.0,4
1788272783,61.6,5
1788272784,53.0,5
1788272785,153.4,5
1788272786,51.8,5
1788272787,50.8,5
1788272788,53.0,4
1788272789,45.6,5
1788272790,63.2,5
1788272791,68.2,5
1788272792,49.2,5
1788272793,47.5,4
1788272794,55.0,5
1788272795,41.4,5
1788272796,54.6,5
1788272797,48.8,5
1788272798,58.0,5
1788272799,51.2,4
1788272800,48.2,5
1788272801,109.4,5
1788272802,50.0,5
1788272803,39.2,5
1788272804,413.5,4
1788272805,103.8,5
1788272806,80.0,5
1788272807,53.0,5
1788272808,49.8,5
1788272809,43.0,4
1788272810,163.6,5
1788272811,41.2,5
1788272812,2816.2,5
1788272813,5197.6,5
1788272814,5045.0,5
1788272815,5077.0,5
1788272816,5066.2,5
1788272817,5097.0,4
1788272818,5143.8,5
1788272819,5140.6,5
1788272820,5154.8,5
1788272821,5284.4,5
1788272822,5231.2,5
1788272823,5157.8,5
1788272824,5154.8,5
1788272825,5151.0,5
1788272826,5161.4,5
1788272827,5158.8,5
1788272828,5169.8,5
1788272829,5158.8,5
1788272830,5168.8,4
1788272831,5163.0,5
1788272832,5175.4,5
1788272833,5173.2,5
1788272834,5175.0,5
1788272835,5171.4,5
1788272836,5169.8,5
1788272837,5135.8,5
1788272838,5105.2,5
1788272839,5091.4,5
1788272840,5102.4,5
1788272841,5120.6,5
1788272842,5116.8,5
1788272843,5116.8,4
1788272844,5090.0,5
1788272845,5114.0,5
1788272846,5099.4,5
1788272847,5248.8,5
1788272848,5101.4,5
1788272849,5103.2,5
1788272850,5135.6,5
1788272851,5084.0,5
1788272852,5094.6,5
1788272853,5093.6,5
1788272854,5096.4,5
1788272855,5099.8,4
1788272856,5120.2,5
1788272857,5110.2,5
1788272858,5104.0,5
1788272859,6173.8,5
1788272860,18404.2,5
1788272861,18627.4,5
1788272862,18791.2,5
1788272863,18841.8,5
1788272864,18898.4,5
1788272865,18967.2,5
1788272866,19034.2,5
1788272867,19075.2,5
1788272868,19127.5,4
1788272869,19179.6,5
1788272870,19237.8,5
1788272871,19295.2,5
1788272872,19274.4,5
1788272873,18910.8,5
1788272874,18622.8,5
1788272875,18500.0,5
1788272876,18267.0,5
1788272877,18063.4,5
1788272878,18061.6,5
1788272879,17784.6,5
1788272880,17969.0,5
1788272881,17900.6,5
1788272882,17757.8,4
1788272883,17638.2,5
1788272884,17534.8,5
1788272885,17405.4,5
1788272886,17322.8,5
1788272887,17152.4,5
1788272888,17057.0,5
1788272889,17000.2,5
1788272890,16928.2,5
1788272891,16834.6,5
1788272892,16762.0,5
1788272893,16668.4,5
1788272894,16657.5,4
1788272895,16625.8,5
1788272896,16566.0,5
1788272897,16489.2,5
1788272898,16466.8,5
1788272899,16394.4,5
1788272900,16372.8,5
1788272901,2417.6,5
1788272902,79.2,5
1788272903,59.5,4
1788272904,48.8,5
1788272905,157.0,5
1788272906,55.8,5
1788272907,50.8,5
1788272908,64.2,4
1788272909,50.4,5
1788272910,89.0,5
1788272911,55.0,5
1788272912,66.2,5
1788272913,50.5,4
1788272914,58.4,5
1788272915,122.0,5
1788272916,63.8,5
1788272917,1068.6,5
1788272918,5085.4,5
1788272919,5423.2,4
1788272920,5645.4,5
1788272921,5128.2,5
1788272922,5138.4,5
1788272923,5232.2,5
1788272924,5214.8,5
1788272925,5205.4,5
1788272926,5303.4,5
1788272927,5264.2,5
1788272928,5224.0,5
1788272929,5220.6,5
1788272930,5224.6,5
1788272931,5211.2,5
1788272932,5224.0,4
1788272933,5204.0,5
1788272934,5198.2,5
1788272935,5224.6,5
1788272936,5217.4,5
1788272937,5212.2,5
1788272938,5204.6,5
1788272939,5205.0,5
1788272940,5246.8,5
1788272941,5196.4,5
1788272942,5319.4,5
1788272943,5134.4,5
1788272944,5133.2,4
1788272945,5129.0,5
1788272946,5151.6,5
1788272947,5167.0,5
1788272948,5613.0,5
1788272949,5142.0,5
1788272950,5143.0,5
1788272951,5138.4,5
1788272952,5128.0,5
1788272953,5122.6,5
1788272954,5139.2,5
1788272955,5138.0,5
1788272956,5954.4,5
1788272957,5148.8,4
1788272958,5179.6,5
1788272959,5129.0,5
1788272960,5129.4,5
1788272961,5141.2,5
1788272962,5129.2,5
1788272963,5140.0,5
1788272964,5133.2,5
1788272965,10658.2,5
1788272966,18684.4,5
1788272967,18874.0,5
1788272968,19082.8,5
1788272969,19107.2,4
1788272970,19284.8,5
1788272971,19174.4,5
1788272972,19255.8,5
1788272973,19075.2,5
1788272974,18497.6,5
1788272975,18229.2,5
1788272976,17844.8,5
1788272977,17719.2,5
1788272978,17378.0,5
1788272979,17308.5,4
1788272980,17195.2,5
1788272981,17000.8,5
1788272982,16824.2,5
1788272983,16793.6,5
1788272984,16670.0,5
1788272985,16630.2,5
1788272986,16766.8,5
1788272987,16678.4,5
1788272988,16592.4,5
1788272989,16398.2,4
1788272990,16446.2,5
1788272991,16381.2,5
1788272992,16247.8,5
1788272993,16248.6,5
1788272994,16184.8,5
1788272995,16125.4,5
1788272996,16002.0,5
1788272997,15999.0,5
1788272998,15995.2,5
1788272999,15924.2,4
1788273000,15889.8,5
1788273001,15903.0,5
1788273002,15708.4,5
1788273003,15690.4,5
1788273004,15683.6,5
1788273005,15667.2,5
1788273006,15630.6,5
1788273007,2583.4,5
1788273008,52.2,4
1788273009,107.8,5
1788273010,58.2,5
1788273011,46.0,5
1788273012,46.0,5
1788273013,56.0,4
1788273014,46.0,5
1788273015,57.0,5
1788273016,44.0,5
1788273017,37.0,4
1788273018,82.6,5
1788273019,67.2,5
1788273020,64.0,5
1788273021,57.4,5
1788273022,50.2,4
1788273023,55.6,5
1788273024,59.2,5
1788273025,190.2,5
1788273026,185.4,5
1788273027,48.0,4
1788273028,1035.6,5
1788273029,3470.0,5
1788273030,2545.6,5
1788273031,96.2,5
1788273032,46.8,4
1788273033,53.6,5
1788273034,70.2,5
1788273035,49.6,5
1788273036,82.2,5
1788273037,70.2,4
1788273038,67.6,5
1788273039,72.2,5
1788273040,131.4,5
1788273041,49.2,4
1788273042,1029.2,5
1788273043,72.6,5
1788273044,84.6,5
1788273045,47.2,5
1788273046,56.0,4
1788273047,46.6,5
1788273048,48.8,5
1788273049,44.0,5
1788273050,49.6,5
1788273051,43.2,4
1788273052,47.8,5
1788273053,51.4,5
1788273054,57.6,5
1788273055,57.4,5
1788273056,47.5,4
1788273057,48.0,5
1788273058,65.4,5
1788273059,47.0,5
1788273060,57.5,4
1788273061,68.0,5
1788273062,85.2,5
1788273063,48.0,5
1788273064,47.8,5
1788273065,39.5,4
1788273066,56.2,5
1788273067,58.0,5
1788273068,50.0,5
1788273069,48.0,4
1788273070,58.4,5
1788273071,62.0,5
1788273072,55.2,5
1788273073,89.6,5
1788273074,45.5,4
1788273075,47.8,5
1788273076,52.4,5
1788273077,59.4,5
1788273078,60.4,5
1788273079,78.8,4
1788273080,45.8,5
1788273081,58.8,5
1788273082,95.6,5
1788273083,51.2,4
